frame,time,fixed_x1,fixed_y1,adjusted_x2,adjusted_y2,adjusted_x3,adjusted_y3,z1,z2,z3,angle1,angle2
3,0.1,766.0458,317.0076,846.1679,317.0076,986.0,451.0,100,125,125,24.863723852227164,9.846872126806696
4,0.13333333333333333,766.0458,317.0076,847.6608,317.0076,995.0815,442.87,100,125,125,25.675115951257773,4.764244775619011
5,0.16666666666666666,766.0458,317.0076,851.8675,317.0076,994.9204,435.0754,100,125,125,24.5683987989738,4.289638125082156
6,0.2,766.0458,317.0076,846.9737,317.0076,997.5991,421.84560000000005,100,125,125,22.73567738183188,2.478947603715136
7,0.23333333333333334,766.0458,317.0076,838.376,317.0076,988.5227,415.92220000000003,100,125,125,20.07303373666061,5.696134881890272
8,0.26666666666666666,766.0458,317.0076,839.5124,317.0076,971.6115,414.4739,100,125,125,16.39138969612893,13.474552184365796
9,0.3,766.0458,317.0076,820.9368,317.0076,932.5233,422.51250000000005,100,125,125,7.226047633677635,34.22258766502989
10,0.3333333333333333,766.0458,317.0076,797.1548,317.0076,857.4333,433.91810000000004,100,125,125,343.0730879045037,81.42719337462916
11,0.36666666666666664,766.0458,317.0076,798.3729,317.0076,776.8729,410.6127,100,125,125,309.73131962573,149.4854006226614
12,0.4,766.0458,317.0076,796.811,317.0076,717.2067000000001,357.3616,100,125,125,304.3202939932311,171.33857965915718
13,0.43333333333333335,766.0458,317.0076,786.8582,317.0076,699.3582,330.6854,100,125,125,293.96507759109494,148.62616704815392
14,0.4666666666666667,766.0458,317.0076,775.9309,317.0076,671.4309,334.6127,100,125,125,282.832665357606,133.10614469181445
15,0.5,766.0458,317.0076,772.1489,317.0076,642.6489,351.71090000000004,100,125,125,283.06623520635674,128.28866235689694
16,0.5333333333333333,766.0458,317.0076,758.8307,317.0076,631.3307,382.71090000000004,100,125,125,193.98335294339375,41.88062397434143
17,0.5666666666666667,766.0458,317.0076,744.0379,317.0076,617.0379,446.3455,100,125,125,127.3493853899916,14.29468661873955
18,0.6,766.0458,317.0076,746.2943,317.0076,648.7943,490.90740000000005,100,125,125,110.47441011657976,18.38694024926857
19,0.6333333333333333,766.0458,317.0076,766.7943,317.0076,683.7943,502.6893,100,125,125,89.30475674157422,34.49180839319647
20,0.6666666666666666,766.0458,317.0076,753.8434,317.0076,662.8434,500.0548,100,125,125,103.19461515613774,21.591411858791776
21,0.7,766.0458,317.0076,757.8562,317.0076,666.6055999999999,500.2906,100,125,125,99.15094093353012,25.415109977317293
22,0.7333333333333333,766.0458,317.0076,753.2835,317.0076,673.0054,502.08820000000003,100,125,125,105.94507402175434,13.813002065625229
23,0.7666666666666667,766.0458,317.0076,741.7727,317.0076,667.3394000000001,506.74940000000004,100,125,125,116.2010826169404,1.726810389474167
24,0.8,766.0458,317.0076,751.6999999999999,317.0076,677.0998999999999,508.66600000000005,100,125,125,107.16336784603084,10.028064684723606
25,0.8333333333333334,766.0458,317.0076,757.7128,317.0076,687.6383000000001,510.8024,100,125,125,99.75195326402208,15.993413892469178
26,0.8666666666666667,766.0458,317.0076,767.7983,317.0076,705.6349,510.9827,100,125,125,87.59304960917365,24.61276284753274
27,0.9,766.0458,317.0076,776.2619,317.0076,721.3534,516.4189000000001,100,125,125,76.67807640982448,32.682080312975664
28,0.9333333333333333,766.0458,317.0076,783.4456,317.0076,728.6743,522.2959000000001,100,125,125,68.86416496077528,40.00234751428373
29,0.9666666666666667,766.0458,317.0076,787.2875,317.0076,742.448,522.627,100,125,125,68.86416496077528,40.00234751428373
30,1.0,766.0458,317.0076,801.6784,317.0076,752.8559,522.6666,100,125,125,51.00395024598298,55.80171051121757
31,1.0333333333333334,766.0458,317.0076,808.6912,317.0076,765.0552,524.2374,100,125,125,46.22482555830777,58.78668511118416
32,1.0666666666666667,766.0458,317.0076,812.6676,317.0076,774.5123,529.2107,100,125,125,46.22482555830777,58.78668511118416
