,t,pixelx,pixely
0,0.09333333,766.0458,317.0076
1,0.11,757.4067,320.3929
2,0.1266667,748.9194,316.8566
3,0.1433333,741.1395,317.5639
4,0.16,736.8959,316.8566
5,0.1766667,726.9941,316.8566
6,0.1933333,716.3851,318.2711
7,0.21,710.0196,316.1493
8,0.2266667,701.5324,314.0275
9,0.2433333,692.3379,312.613
10,0.26,678.8998,309.0766
11,0.2766667,657.6817,306.2475
12,0.2933333,650.609,305.5403
13,0.31,643.5363,306.2475
14,0.3266667,629.391,298.4676
15,0.3433333,619.4892,294.9312
16,0.36,608.1729,291.3949
17,0.3766667,596.1493,288.5658
18,0.3933333,594.7348,288.5658
19,0.41,591.9057,287.1513
20,0.4266667,570.6876,284.3222
21,0.4433333,572.1022,290.6876
22,0.46,563.6149,291.3949
23,0.4766667,553.7132,292.8094
24,0.4933333,542.3969,301.2967
25,0.51,518.3497,309.7839
26,0.5266667,524.7151,301.2967
27,0.5433333,524.7151,302.7112
28,0.56,524.0079,307.6621
29,0.5766667,530.3733,313.3202
30,0.5933333,528.2515,321.1002
31,0.61,526.1297,335.9528
32,0.6266667,528.2515,342.3183
33,0.6433333,529.666,335.9528
34,0.66,533.2024,335.9528
35,0.6766667,539.5678,336.6601
36,0.6933333,541.6896,336.6601
37,0.71,545.2259,336.6601
38,0.7266667,548.7623,333.831
39,0.7433333,554.4204,330.2947
40,0.76,569.2731,328.1729
41,0.7766667,574.9312,326.0511
42,0.7933333,576.3458,326.0511
43,0.81,579.1749,323.9293
44,0.8266667,584.833,322.5147
45,0.8433333,586.2475,321.8075
46,0.86,586.2475,321.8075
47,0.8766667,586.2475,319.6857
48,0.8933333,589.7839,316.8566
49,0.91,593.3202,315.442
50,0.9266667,601.1002,310.4912
51,0.9433333,603.222,310.4912
52,0.96,606.7583,310.4912
53,0.9766667,611.002,310.4912
54,0.9933333,617.3674,310.4912
55,1.011667,623.7328,310.4912
56,1.028333,625.8546,310.4912
57,1.045,632.9273,308.3694
58,1.061667,637.8782,307.6621
59,1.078333,647.78,305.5403
60,1.095,651.3163,305.5403
61,1.111667,653.4381,304.1257
62,1.128333,654.8527,304.1257
63,1.145,654.8527,304.1257
64,1.161667,655.5599,306.9548
65,1.178333,655.5599,309.0766
66,1.195,662.6326,314.0275
67,1.211667,662.6326,314.0275
68,1.228333,668.998,314.0275
69,1.245,676.778,314.0275
70,1.261667,682.4361,314.0275
71,1.278333,683.1434,314.0275
72,1.295,686.6798,314.0275
73,1.311667,693.0452,315.442
74,1.328333,694.4597,316.1493
75,1.345,694.4597,316.1493
76,1.361667,706.4833,321.8075
77,1.378333,710.0196,322.5147
78,1.395,716.3851,324.6365
79,1.411667,716.3851,326.7583
80,1.428333,717.7996,327.4656
81,1.445,720.6287,328.1729
82,1.461667,722.7505,328.8802
83,1.478333,724.8723,329.5874
84,1.495,731.945,331.002
85,1.511667,742.554,332.4165
86,1.528333,744.6758,333.831
87,1.545,744.6758,340.1965
88,1.561667,748.9194,343.7328
89,1.578333,750.334,344.4401
90,1.595,756.6994,346.5619
91,1.611667,756.6994,346.5619
92,1.628333,756.6994,346.5619
93,1.645,760.2358,346.5619
94,1.661667,765.1866,346.5619
95,1.678333,766.6012,346.5619
96,1.695,768.723,346.5619
97,1.711667,765.1866,347.9764
98,1.728333,765.1866,347.9764
99,1.745,765.1866,347.9764
100,1.761667,765.1866,347.9764
101,1.778333,765.1866,348.6837
102,1.795,760.2358,349.391
103,1.811667,760.2358,349.391
104,1.828333,756.6994,349.391
105,1.845,753.8703,347.9764
106,1.861667,753.8703,347.2692
107,1.878333,753.8703,346.5619
108,1.895,753.8703,337.3674
109,1.911667,753.8703,337.3674
110,1.928333,750.334,333.831
111,1.945,750.334,333.831
112,1.961667,747.5049,331.7092
113,1.978333,746.7976,329.5874
114,1.995,743.2613,326.7583
115,2.011667,741.8468,326.7583
