,t,pixelx,pixely
0,0.09333333,986.0,451.0
1,0.11,982.4535,446.5029
2,0.1266667,977.9551,442.719
3,0.1433333,972.391,438.6258
4,0.16,965.7705,434.9244
5,0.1766667,957.6266,429.2621
6,0.1933333,947.9384,423.1091
7,0.21,939.8379,418.7969
8,0.2266667,924.0093,412.9421
9,0.2433333,907.6027,409.0338
10,0.26,884.4655,406.5429
11,0.2766667,858.1989,405.1789
12,0.2933333,817.0865,411.0452
13,0.31,772.4527,413.3849
14,0.3266667,720.7785,415.3781
15,0.3433333,674.0,399.0
16,0.36,619.0,385.0
17,0.3766667,577.2862,360.1304
18,0.3933333,545.8957,328.9198
19,0.41,519.0,300.0
20,0.4266667,504.0,298.0
21,0.4433333,493.0,301.0
22,0.46,469.0,309.0
23,0.4766667,444.0,321.0
24,0.4933333,419.0,336.0
25,0.51,398.0,352.0
26,0.5266667,390.0,367.0
27,0.5433333,381.0,395.0
28,0.56,375.0,437.0
29,0.5766667,391.0,460.0
30,0.5933333,411.0,495.0
31,0.61,437.0,522.0
32,0.6266667,446.0,528.0
33,0.6433333,438.0,525.0
34,0.66,430.0,519.0
35,0.6766667,436.0,520.0
36,0.6933333,442.2494,519.9431
37,0.71,448.4497,519.8027
38,0.7266667,455.7219,518.9116
39,0.7433333,463.1805,518.4168
40,0.76,470.5667,517.9147
41,0.7766667,478.5773,517.6925
42,0.7933333,487.3999,517.7095
43,0.81,497.0975,516.4764
44,0.8266667,506.4255,516.3095
45,0.8433333,515.8176,515.8302
46,0.86,525.8366,515.7826
47,0.8766667,535.5634,515.8333
48,0.8933333,545.0915,516.2679
49,0.91,554.1331,516.1126
50,0.9266667,563.7287,515.7795
51,0.9433333,572.8749,514.497
52,0.96,583.1605,516.1106
53,0.9766667,593.3325,516.0044
54,0.9933333,604.1775,516.1502
55,1.011667,614.1862,518.2251
56,1.028333,624.864,517.721
57,1.045,635.9997,519.2721
58,1.061667,646.3447,519.8652
59,1.078333,656.5473,519.6875
60,1.095,667.3889,520.3338
61,1.111667,677.3374,520.2843
62,1.128333,686.3114,521.2046
63,1.145,696.1832,521.5438
64,1.161667,720.0,521.0
65,1.178333,732.0,523.0
66,1.195,739.0,523.0
67,1.211667,743.0,525.0
68,1.228333,750.0,525.0
69,1.245,756.0,525.0
70,1.261667,772.0,526.0
71,1.278333,785.0,527.0
72,1.295,787.0,528.0
73,1.311667,792.0,528.0
74,1.328333,802.0,529.0
75,1.345,811.0,532.0
76,1.361667,821.0,532.0
77,1.378333,827.0,532.0
78,1.395,837.0,532.0
79,1.411667,845.0,532.0
80,1.428333,854.0,532.0
81,1.445,858.0,532.0
82,1.461667,863.0,532.0
83,1.478333,869.0,532.0
84,1.495,875.0,535.0
85,1.511667,879.8375,534.871
86,1.528333,884.5385,536.5286
87,1.545,888.9362,536.6363
88,1.561667,893.5881,536.6877
89,1.578333,899.0288,536.6028
90,1.595,904.0985,536.6694
91,1.611667,910.2676,536.5379
92,1.628333,916.7236,535.2046
93,1.645,923.2942,533.3846
94,1.661667,929.8821,532.5961
95,1.678333,934.5475,530.6831
96,1.695,939.4866,528.7439
97,1.711667,942.9059,526.7074
98,1.728333,946.065,524.9023
99,1.745,948.9259,523.4196
100,1.761667,950.7878,522.5459
101,1.778333,951.9045,521.0547
102,1.795,953.8633,520.7391
103,1.811667,955.5069,518.9228
104,1.828333,957.5338,516.9486
105,1.845,959.0555,511.2649
106,1.861667,961.2732,508.1677
107,1.878333,962.1019,505.2988
108,1.895,963.1103,501.9991
109,1.911667,963.5726,497.9559
110,1.928333,964.4026,494.1346
111,1.945,964.3227,490.14
112,1.961667,964.5305,485.5865
